Timestamp,Please read the consent form and select I agree to continue,UserId,Gender,Age,What is the highest level of education you have completed? ,Nationality,Your interest in music?,Have you had formal training or education related to music?,"If yes, which instrument (or singing) and for how many years?",How many hours in a day do you listen to music?,What kind of music do you like to listen to the most? ,What kind of music do you like to listen to when you feel low? ,Do you listen to music in the background while working? [Choice],When I listen to music I get stuck in bad memories [Choice],"I hide in my music because nobody understands me, and it blocks people out [Choice]",Music helps me relax [Choice],When I try to use music to feel better I actually end up feeling worse [Choice],I feel happier after playing or listening to music [Choice],Music gives me the energy to get going [Choice],I like to listen to songs over and over even though it makes me feel worse [Choice],Music makes me feel bad about who I am [Choice],Music helps me to connect with other people who are like me [Choice],Music gives me an excuse not to face up to the real world [Choice],It can be hard to stop listening to music that connects me to bad memories [Choice],Music leads me to do things I shouldn’t do [Choice],When I’m feeling tense or tired in my body music helps me relax [Choice],"In the past 4 weeks, how often did you feel tired out for no good reason?  [Choice]","In the past 4 weeks, how often did you feel nervous? [Choice]","In the past 4 weeks, how often did you feel so nervous that nothing could calm you down?     [Choice]","In the past 4 weeks, how often did you feel hopeless? [Choice]","In the past 4 weeks, how often did you feel restless or fidgety?  [Choice]","In the past 4 weeks, how often did you feel so restless you could not sit still?  [Choice]","In the past 4 weeks, how often did you feel depressed? [Choice]","In the past 4 weeks, how often did you feel that everything was an effort?  [Choice]","In the past 4 weeks, how often did you feel so sad that nothing could cheer you up? [Choice]","In the past 4 weeks, how often did you feel worthless? [Choice]",Am the life of the party. [Choice],Sympathize with others’ feelings. [Choice],Get chores done right away.  [Choice],Have frequent mood swings. [Choice],Have a vivid imagination. [Choice],Don’t talk a lot. [Choice],Am not interested in other people’s problems. [Choice],Often forget to put things back in their proper place. [Choice],Am relaxed most of the time. [Choice],Am not interested in abstract ideas. [Choice],Talk to a lot of different people at parties. [Choice],Feel others’ emotions. [Choice],Like order. [Choice],Get upset easily. [Choice],I Have difficulty understanding abstract ideas. [Choice],Keep in the background. [Choice],Am not really interested in others. [Choice],Make a mess of things. [Choice],Seldom feel blue. [Choice],Do not have a good imagination. [Choice],How has your music use pattern changed over the past one year?,How would you compare your well-being one year ago and now?,Unhealthy,Healthy,K-10,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
2019/03/27 12:39:43 AM GMT+5:30,I Agree,e53ade3e61842daa4ee1793b648a11a2,Male,27,High School graduate,Finland,Enthusiastic,No,,2,rock,classical,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Never,Rarely,Most of the time,Some of the time,A little of the time,Some of the time,A little of the time,None of the time,A little of the time,Most of the time,A little of the time,A little of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,It really hasn't.,I feel better now,10,12,25,3.25,2.25,1.75,4,3.5
2019/03/27 12:45:39 AM GMT+5:30,I Agree,c4f694bbab2487b776e57bd9739cca4e,Female,21,High School graduate,United States,Enthusiastic,No,,3,rock,jazz,Often,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Never,Always,Rarely,Always,Rarely,Often,Some of the time,A little of the time,A little of the time,Some of the time,Most of the time,A little of the time,All of the time,All of the time,Some of the time,Most of the time,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,"I relisten to songs more often, compared to the past where I would relisten to albums over and over. Otherwise, it has remained the same.",I feel better now,22,22,33,4.75,2.25,2.75,4.5,3
2019/03/27 12:52:28 AM GMT+5:30,I Agree,e24ff71e59344d2bced401bd05daa115,Male,28,High School graduate,Norway,Enthusiastic,No,,3.5,rock,rock,Sometimes,Sometimes,Never,Always,Never,Often,Often,Never,Never,Sometimes,Sometimes,Never,Never,Often,None of the time,None of the time,None of the time,None of the time,Some of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,"Been listening to more music, and a bit more ""tamer"" music",I feel more or less the same.,12,20,13,4,2.75,1.25,3.75,1.5
2019/03/27 2:18:04 AM GMT+5:30,I Agree,04e3becfa6b8843aabcfed4e128ffff5,Male,16,High School graduate,United Kingdom,Enthusiastic,No,,4,hiphop,pop,Often,Rarely,Sometimes,Often,Rarely,Often,Sometimes,Sometimes,Rarely,Often,Never,Never,Never,Sometimes,Some of the time,A little of the time,None of the time,Some of the time,A little of the time,None of the time,A little of the time,A little of the time,A little of the time,A little of the time,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,I listen to music more often,I feel worse now,15,18,20,3.25,2.25,3.5,3,4
2019/03/27 2:19:36 AM GMT+5:30,I Agree,8b4f3a21d11af38e5e76a6c4a726c267,Male,29,Bachelor's degree,Russia,Enthusiastic,No,,3,Mixed,Mixed,Often,Sometimes,Rarely,Often,Rarely,Sometimes,Often,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,"It hasn't, I still choose music that fits my mood",I feel better now,15,14,30,4.75,4.25,2.25,4.75,4
2019/03/27 2:25:18 AM GMT+5:30,I Agree,8cfac1cad5d49e655ca81aea766c6266,Male,29,Master's degree,United Kingdom,Enthusiastic,No,,1,Mixed,jazz,Rarely,Rarely,Rarely,Often,Never,Often,Sometimes,Never,Rarely,Often,Rarely,Rarely,Never,Often,A little of the time,A little of the time,None of the time,None of the time,A little of the time,None of the time,Some of the time,None of the time,A little of the time,None of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,"Less home listening, much more commuting listening ",I feel more or less the same.,13,19,16,4.5,1.75,3.25,3.75,1.75
2019/03/27 2:43:13 AM GMT+5:30,I Agree,e0cc2c520fb12d184d03a744deaa4122,Male,22,High School graduate,Italy,Moderate,No,,3,rock,rock,Often,Rarely,Rarely,Sometimes,Never,Often,Often,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Some of the time,Some of the time,A little of the time,None of the time,A little of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Not very much (I have started listening to a lot of different genres of music) ,I feel better now,11,16,18,4.5,3,1.5,4,2.25
2019/03/27 2:43:48 AM GMT+5:30,I Agree,357bfdd3c09af1c99d1dc3bf9d2fb73e,Male,29,Bachelor's degree,United States,Enthusiastic,No,,6,hip hop,rock,Always,Always,Sometimes,Always,Never,Always,Always,Rarely,Never,Often,Sometimes,Rarely,Never,Always,A little of the time,A little of the time,None of the time,A little of the time,None of the time,None of the time,None of the time,A little of the time,None of the time,None of the time,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,I don't believe it has,I feel more or less the same.,18,24,14,4.75,3.5,3.5,2.25,1.75
2019/03/27 2:45:02 AM GMT+5:30,I Agree,99e12b565d23f1db23faa12bcae035e2,Male,25,Master's degree,Albania,Enthusiastic,No,my laptop is my instrument ,2.5,jazz,classical,Often,Rarely,Often,Always,Never,Often,Often,Never,Never,Often,Sometimes,Rarely,Rarely,Often,Most of the time,Most of the time,Some of the time,Most of the time,Most of the time,Some of the time,Some of the time,Most of the time,Some of the time,Some of the time,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,"tried to incorporate more upbeat, optimistic songs on my library ",I feel better now,16,21,35,3.25,2.75,3.75,3.75,3.25
2019/03/27 2:45:41 AM GMT+5:30,I Agree,31f9de27bc7ed293c95520384e221ddb,Male,19,High School graduate,Italy,Enthusiastic,Yes,Piano for ~12 years,4,Mixed,jazz,Rarely,Sometimes,Often,Often,Rarely,Always,Always,Rarely,Never,Often,Never,Never,Never,Always,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,"it didn't change so much i think, maybe i'm listening to more various genres ",I feel better now,15,23,18,4,4.5,2.75,3.75,3
2019/03/27 2:46:16 AM GMT+5:30,I Agree,929e1073f2ec54bf04e18ca8f33a1724,Male,20,High School graduate,United States,Enthusiastic,No,,8,hip-hop,rock,Always,Rarely,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Often,Never,Never,Never,Often,Some of the time,Some of the time,None of the time,A little of the time,A little of the time,None of the time,A little of the time,Some of the time,A little of the time,A little of the time,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,No,I feel better now,9,17,21,5,2.75,2,3,3.75
2019/03/27 2:49:54 AM GMT+5:30,I Agree,eb60292b64d802772a666d0f6a7b9850,Male,32,Bachelor's degree,United States,Enthusiastic,No,,10,rock,jazz,Always,Never,Often,Always,Never,Always,Always,Never,Never,Always,Rarely,Never,Rarely,Often,A little of the time,A little of the time,None of the time,None of the time,Some of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No change,I feel more or less the same.,13,24,16,5,4.5,1.75,2.75,1.75
2019/03/27 3:01:09 AM GMT+5:30,I Agree,4f084156a11239c727903e43a7f27e72,Male,20,High School graduate,Poland,Enthusiastic,No,,3,hiphop,rock,Often,Rarely,Rarely,Always,Rarely,Often,Always,Often,Never,Always,Sometimes,Rarely,Never,Always,A little of the time,Some of the time,None of the time,A little of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,Some of the time,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,"I listen to music more often and dive into it more than I used to, that is I listen to more diverse music",I feel better now,17,24,18,4.25,2.5,1,4.75,2.25
2019/03/27 3:02:34 AM GMT+5:30,I Agree,92b4e706b81a3dd8e9a8bbc0095ef6fa,Male,18.92,High School graduate,United States,Enthusiastic,Yes,"Trombone 4 yrs, bass 4 yrs",6,jazz,jazz,Often,Rarely,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Some of the time,Some of the time,A little of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,Some of the time,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Mild fluctuations +/- 2hrs/day at times but mostly the same,Can't say,20,16,28,4.75,2.25,2.25,2.75,2.25
2019/03/27 3:11:29 AM GMT+5:30,I Agree,f95f2a4e22fb72f28fc1ad054bb9f833,Male,37,Bachelor's degree,United States,Enthusiastic,Yes,Choir (7 years),1,rock,rock,Often,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Never,Never,Often,Never,Never,Never,Never,A little of the time,Some of the time,A little of the time,A little of the time,Some of the time,Some of the time,A little of the time,Some of the time,None of the time,A little of the time,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,I find myself listening to less and less music each year.,I feel worse now,12,14,23,4,4,1.75,2.5,2.75
2019/03/27 3:12:18 AM GMT+5:30,I Agree,c6ba085f9ec359bc73fb4b2134d6995b,Male,28,High School graduate,Sweden,Enthusiastic,No,,2.5,rock,rock,Often,Rarely,Never,Often,Rarely,Always,Always,Never,Never,Sometimes,Never,Never,Never,Often,Some of the time,Some of the time,A little of the time,Most of the time,Some of the time,None of the time,Most of the time,All of the time,A little of the time,Some of the time,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,"I was without music for 3 weeks last year which is the longest ever. I realised I used music to ""zone out"" and enter another world sometimes and I try to listen less frequent now to give the moment my full attention. I'm otherwise quite consistent in my listening I think.",I feel better now,10,21,30,4,4.75,1.75,5,3.25
2019/03/27 3:13:32 AM GMT+5:30,I Agree,6678f7ff637d772c3a1213e4fa1926f3,Male,19,High School graduate,Italy,Enthusiastic,No,,3,classical,jazz,Often,Rarely,Never,Sometimes,Never,Often,Sometimes,Never,Never,Always,Never,Rarely,Never,Often,Most of the time,Some of the time,A little of the time,A little of the time,Some of the time,None of the time,A little of the time,Some of the time,A little of the time,None of the time,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Not that much,I feel better now,10,19,23,4.5,3.25,3.25,5,3.5
2019/03/27 3:17:09 AM GMT+5:30,I Agree,56a71b0dc27604fb18d1af48a3301206,Male,22,Bachelor's degree,United Kingdom,Enthusiastic,No,,4,rock,rock,Often,Rarely,Sometimes,Always,Rarely,Sometimes,Always,Sometimes,Sometimes,Often,Rarely,Rarely,Never,Often,All of the time,Most of the time,A little of the time,Some of the time,Most of the time,A little of the time,Some of the time,Most of the time,None of the time,None of the time,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,"More listens, more rap",I feel worse now,18,21,29,3.5,2.75,1.75,2,2.5
2019/03/27 3:18:06 AM GMT+5:30,I Agree,271f8188533f99b5e81233c62c07a538,Male,23,Professional degree,Netherlands,Enthusiastic,No,,2,classical,classical,Often,Sometimes,Sometimes,Often,Rarely,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Often,Most of the time,Some of the time,Some of the time,Most of the time,Some of the time,A little of the time,Most of the time,Most of the time,Some of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,"It has reduced quite a bit, mostly stuck listening the same songs/artists. Dont wanna be disapointed with new music",I feel worse now,19,19,33,3.5,2.75,1.75,3,3.5
2019/03/27 3:21:22 AM GMT+5:30,I Agree,fe6ff9eaafa246d541b5fc898ab4f9af,Male,23,High School graduate,Germany,Enthusiastic,No,,3,Hip-Hop ,classical,Often,Rarely,Rarely,Always,Never,Always,Often,Never,Never,Often,Rarely,Rarely,Never,Often,A little of the time,Some of the time,None of the time,None of the time,None of the time,None of the time,A little of the time,A little of the time,None of the time,None of the time,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree,Strongly Disagree,Not too much,I feel better now,12,22,15,4.5,3.75,3.5,4.5,2.5
2019/03/27 3:21:42 AM GMT+5:30,I Agree,f15b8da47a22a46e4ed51f6a50d2bc9c,Male,16,High School graduate,United States,Enthusiastic,Yes,Bass - 4 years,2,jazz,jazz,Often,Rarely,Often,Always,Rarely,Always,Often,Rarely,Rarely,Always,Often,Sometimes,Rarely,Often,Most of the time,Some of the time,A little of the time,A little of the time,A little of the time,None of the time,None of the time,None of the time,A little of the time,A little of the time,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,I listen to it more but don't use it as an escape as much anymore,I feel better now,21,23,20,4,4,1.25,2,1.75
2019/03/27 3:23:22 AM GMT+5:30,I Agree,beb6b94b7a2de6fa238053cea304391a,Male,27,Bachelor's degree,Finland,Moderate,No,,2,classical,jazz,Sometimes,Rarely,Rarely,Sometimes,Never,Often,Sometimes,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,A little of the time,Some of the time,A little of the time,Some of the time,Some of the time,A little of the time,Some of the time,Most of the time,A little of the time,Some of the time,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,"I started listening to more music again. There are times when I would rather listen to audiobooks or podcasts, but music is there for evoking emotional effect in me most vividly. ",I feel more or less the same.,11,16,27,3.75,2.5,2,4,2.75
